O	Na	Mg	Al	Si	K	Ca	Ti	Fe
2.597	0.102	0.152	0.261	0.938	0.04	0.041	0.019	0.025
2.86	0.077	0.191	0.42	0.914	0.033	0.073	0	0.068
2.803	0.054	0.205	0.271	0.963	0.036	0.123	0.018	0.059
3.127	0.034	0.037	0.366	1.059	0.047	0.174	0	0.188
2.593	0.032	0.016	0.174	1.022	0.037	0.204	0.005	0.017
2.99	0.052	0.081	0.379	0.887	0.037	0.146	0.014	0.256
2.815	0.114	0.258	0.254	0.952	0.042	0.083	0.047	0.014
3.133	0.122	0.055	0.338	1.047	0.04	0.093	0.052	0.168
2.983	0.028	0.075	0.379	0.968	0.029	0.13	0	0.223
2.871	0.133	0.079	0.315	0.928	0.052	0.155	0.034	0.115