	Thin Section	Site	Spectrum Label	O	Na	Mg	Al	Si	P	Cl	K	S	Ca	Ti	Cr	V	Mn	Fe	Cu	Ag	Co	Ba	Eu	La	Ce	Pr	Nd	Sm	W	Mixture with quartz	Cluster_1	Mineral name 1	Mineral name 2
1	15_Zone 1	2	3	66.16	0	0	0	29.67	0	0	0	2.06	0.2	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	Yes			
2	15_Zone 1	3	2	57.7	0	0	0	26.15	0	0	0	7.33	0	0	0	0	0	0	0	0	0	8.82	0	0	0	0	0	0	0	Yes			
3	15_Zone 1	3	1	55.8	0	0	0	27.24	0	0	0	7.65	0	0	0	0	0	0	0	0	0	9.31	0	0	0	0	0	0	0	Yes			
4	15_Zone 1	3	4	63.21	0	0	0	13.89	0	0	0	10.84	12.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes			
5	15_Zone 1	3	5	65.79	0	0	0	6.38	0	0	0	12.99	14.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes			
6	15_Zone 1	3	3	69.71	0	0	0	3.78	0	0	0	13.26	13.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes			
7	15_Zone 1	2	1	65.66	0	0	0	34.25	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
8	15_Zone 1	2	3	65.35	0	0	0	34.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
9	15_Zone 1	4	1	65.57	0	0	0.59	33.77	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
10	15_Zone 1	4	2	59.2	0	0	0	2.97	0	0	0	0	0	0	0	0	0	37.82	0	0	0	0	0	0	0	0	0	0	0	0			
11	15_Zone 1	4	3	58.13	0	0	0.56	3.89	0	0	0.17	0	0.35	0	0	0	0.27	36.64	0	0	0	0	0	0	0	0	0	0	0	0			
12	15_Zone 1	4	4	58.46	0	0	0	6.91	0	0	0.34	0	0.31	0	0	0	0	33.99	0	0	0	0	0	0	0	0	0	0	0	0			
13	15_Zone 1	4	5	55.17	0	3.6	2.38	25.48	0	0.17	4.4	0	0.37	0	0	0	0	8.42	0	0	0	0	0	0	0	0	0	0	0	0			
14	15_Zone 1	4	6	66.24	0	0	0	33.12	0	0	0.18	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0			
15	15_Zone 1	4	7	66.65	0	3.83	1.29	19.72	0	0	3.48	0	0	0	0	0	0	5.04	0	0	0	0	0	0	0	0	0	0	0	0			
16	15_Zone 1	4	8	66.39	0	0	0.47	32.9	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0			
17	15_Zone 1	4	9	62.99	0	0.74	0.77	27.74	0	0	0.6	0	0.17	0.48	0	0	0	6.51	0	0	0	0	0	0	0	0	0	0	0	0			
18	15_Zone 1	4	10	59.6	0	0	0	17.96	0	0	0.43	0	0.13	0	13.16	0	0	0.54	8.19	0	0	0	0	0	0	0	0	0	0	0			
19	15_Zone 1	5	1	65.69	0	0	0.42	33.74	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
20	15_Zone 1	5	2	58.6	0	0	0.55	3.27	0	0	0	0	0.25	0	0	0	0.67	36.66	0	0	0	0	0	0	0	0	0	0	0	0			
21	15_Zone 1	5	3	57.72	0	0.78	6.67	31.72	0	0	0.57	0	2.37	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0			
22	15_Zone 1	5	4_Resin	52.09	0	0.93	6.7	34.73	0	2.62	0.46	0	2.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
23	15_Zone 1	5	5_Resin	61	0	0.84	5.75	26.93	0	3.73	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
24	15_Zone 1	5	6	58.1	0	0	2.25	8.35	0	0.12	0	0	0.41	0	0	0	0.29	30.47	0	0	0	0	0	0	0	0	0	0	0	0			
25	15_Zone 1	6	1	65.77	0	0	0	33.54	0	0	0.12	0	0.27	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0			
26	15_Zone 1	6	2	59.34	8.92	1.31	0	20.29	0	0	0	0	1.09	0.79	0	0	0	8.26	0	0	0	0	0	0	0	0	0	0	0	0			
27	15_Zone 1	6	3	53.56	0	5.4	0	1.47	0	0	0	0	0	0.59	0	0	4.29	30.65	4.04	0	0	0	0	0	0	0	0	0	0	0			
28	15_Zone 1	6	4	62.11	0	2.96	2.88	22.17	0	0	1.76	0	0.74	0	0	0	0	7.37	0	0	0	0	0	0	0	0	0	0	0	0			
29	15_Zone 1	6	5	65.33	0	0.84	5.92	25.76	0	0.07	0.34	0	1.56	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0			
30	15_Zone 1	6	6	59.42	7.33	2.29	0.26	21.09	0	0	0	0	2.04	0.42	0	0	0	7.14	0	0	0	0	0	0	0	0	0	0	0	0			
31	15_Zone 1	6	7	59.22	5.45	3.15	0.58	22.34	0	0	0.15	0	2.56	0.34	0	0	0	6.21	0	0	0	0	0	0	0	0	0	0	0	0			
32	15_Zone 1	6	8	58.86	3.47	5.66	0.49	19.98	0	0	0	0	5.09	0.29	0	0	0.12	6.03	0	0	0	0	0	0	0	0	0	0	0	0			
33	15_Zone 1	6	9	60.28	3.42	0.69	0.23	15.73	0	0	0	0	7.92	7.99	0	0	0	3.63	0	0	0	0	0.12	0	0	0	0	0	0	0			
34	15_Zone 1	7	1	65.91	0	0	0	33.47	0	0.22	0	0	0.11	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0			
35	15_Zone 1	7	2	59.19	4.51	4.96	0.52	19.94	0	0	4.02	0	0.39	0	0	0	0	6.47	0	0	0	0	0	0	0	0	0	0	0	0			
36	15_Zone 1	7	3	58.61	0	0.72	0	0.23	0	0	0	0	2.87	0	0	0.17	0	37.41	0	0	0	0	0	0	0	0	0	0	0	0			
37	15_Zone 1	7	4	60.83	1.34	0	5.52	24.41	0	5.55	0	0	0.15	0	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	0	0			
38	15_Zone 1	7	5	60.24	0.68	6.78	0.58	19.76	0	0	4.46	0	0.17	0	0	0	0.15	7.17	0	0	0	0	0	0	0	0	0	0	0	0			
39	15_Zone 1	7	6	61.11	8.15	2.15	0.5	18.77	0	0	1.76	0	0.78	0	0	0	0	6.79	0	0	0	0	0	0	0	0	0	0	0	0			
40	15_Zone 2	2	1	61.56	0	0	0.71	0.47	0	0	0	0	0.13	7.33	0	0.35	0	29.45	0	0	0	0	0	0	0	0	0	0	0	0			
41	15_Zone 2	2	2	58.61	1.68	6.47	1.25	20.22	0	0	0	0	6.4	0.34	0	0	0	5.03	0	0	0	0	0	0	0	0	0	0	0	0			
42	15_Zone 2	2	3	59.76	0	3.71	1.26	22.9	0	0	4.8	0	0	0	0	0	0	7.58	0	0	0	0	0	0	0	0	0	0	0	0			
43	15_Zone 2	2	4	59.83	0	0	0.85	0.8	0	0	0	0	0.21	5.63	0	0.48	0.36	31.83	0	0	0	0	0	0	0	0	0	0	0	0			
44	15_Zone 2	2	5	59.37	2.76	5.3	1.33	20.05	0	0	0	0	5.49	0.38	0	0	0	5.31	0	0	0	0	0	0	0	0	0	0	0	0			
45	15_Zone 2	2	6	65.53	0	0	0	34.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
46	15_Zone 2	2	7	62.28	0	0	0	31.36	0	0	0	0	0.2	0.58	0	0	0	5.57	0	0	0	0	0	0	0	0	0	0	0	0			
47	15_Zone 2	2	8	58.11	1.42	0.77	4.37	8.27	0	0	0.28	0	2.8	0	0	0	21.25	2.06	0	0	0.33	0.35	0	0	0	0	0	0	0	0			
48	15_Zone 2	2	9	61.98	1.27	0	5.5	27.26	0	0	3.79	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0			
49	15_Zone 2	2	10	60.7	3.08	0	11.99	19.34	0	0	0.13	0	4.39	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0			
50	15_Zone 2	3	1	60.25	2.32	1.68	6.69	21.39	0	0	0.85	0	3.26	0.34	0	0	0	3.21	0	0	0	0	0	0	0	0	0	0	0	0			
51	20_Zone1	2	1	64.37	0	0	0	35.42	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0			
52	20_Zone1	2	2	63.66	0	0	1.29	33.97	0	0	0.49	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0			
53	20_Zone1	2	3	64.74	0	0	0.59	34.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
54	20_Zone1	2	4	62.75	0	0.38	0.85	34.72	0	0	0.25	0	0	0	0	0	0	1.05	0	0	0	0	0	0	0	0	0	0	0	0			
55	20_Zone1	2	5	58.71	0	0	1.17	8.6	0	0	0	0	0.21	0.69	0	0	0	30.62	0	0	0	0	0	0	0	0	0	0	0	0			
56	20_Zone1	2	6	56.21	0	0.64	4.76	11.26	0	0	1.95	0	0	0.92	0	0	0	24.27	0	0	0	0	0	0	0	0	0	0	0	0			
57	20_Zone1	2	7	38.58	0	0	0.33	0.45	0	0	0	0	0	0	0	0	0	60.64	0	0	0	0	0	0	0	0	0	0	0	0			
58	20_Zone1	2	8	58.57	0	0	0.38	0.46	0	0	0	0	0	0	0	0	0	40.59	0	0	0	0	0	0	0	0	0	0	0	0			
59	20_Zone1	2	9	66.04	0	0	1.58	3.34	0	0.13	0.17	0	0.16	0	0	0	0	28.59	0	0	0	0	0	0	0	0	0	0	0	0			
60	20_Zone1	2	10	63.2	0	3.78	8.18	18.97	0	0	0.32	0	1.64	0.14	0	0	0	3.78	0	0	0	0	0	0	0	0	0	0	0	0			
61	20_Zone1	2	11	57.53	0.69	6	0.8	20.78	0	0	0	0	6.57	0.27	0	0	0	7.36	0	0	0	0	0	0	0	0	0	0	0	0			
62	20_Zone1	2	12	57.91	0	6.56	0.6	20.74	0	0	0	0	6.44	0	0	0	0	7.75	0	0	0	0	0	0	0	0	0	0	0	0			
63	20_Zone1	3	1	64.32	0	0	0	35.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
64	20_Zone1	3	2	59.04	0.49	0	8.1	25.15	0	0	6.91	0	0	0	0	0	0	0.17	0	0	0	0.15	0	0	0	0	0	0	0	0			
65	20_Zone1	3	3	60.11	0	0	0.36	3.05	0	0	0	0	0.15	9.62	0	0	0.71	25.99	0	0	0	0	0	0	0	0	0	0	0	0			
66	20_Zone1	3	4	65.09	0	1.15	4.02	26.13	0	0	1.33	0	0	0.09	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0			
67	20_Zone1	3	5	36.43	0	1.45	0.61	3.2	0	0	0	0	0	5.53	0	0	0	52.79	0	0	0	0	0	0	0	0	0	0	0	0			
68	20_Zone1	3	6	66.78	0	0	0	0.47	0	0	0	0	0	32.35	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0			
69	20_Zone1	3	7	63.34	0	0	0.94	34.79	0	0	0.24	0	0	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0			
70	20_Zone1	4	1	58.22	0	4.55	8.26	15.77	0	0.1	4.89	0	0	0.79	0	0	0	7.42	0	0	0	0	0	0	0	0	0	0	0	0			
71	20_Zone1	4	2	64.32	0	0	0	35.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
72	20_Zone1	4	3	64.18	0.17	0.43	2.34	30.57	0	0	0.8	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0			
73	20_Zone1	4	4	57.68	0	6.44	7.56	15.21	0	0	1.48	0	0	0.8	0	0	0	10.83	0	0	0	0	0	0	0	0	0	0	0	0			
74	20_Zone1	4	5	59.58	0	6.83	7.83	15.01	0	0	3.25	0	0	0.98	0	0	0.2	6.32	0	0	0	0	0	0	0	0	0	0	0	0			
75	20_Zone1	4	6	53.97	0	0.22	16.88	10.48	10.27	0	0.5	0	3.9	0	0	0	0	1.38	0	0	0.96	0	0	0.53	0.44	0	0	0	0.46	0			
76	20_Zone1	4	7	61.75	0	0	0.52	1.87	16.56	0	0	0	0	0	0	0	0	0.56	0	0.4	0	0	0	3.85	8.62	1.21	4.04	0.62	0	0			
77	20_Zone1	4	8	61.17	0	0.64	0.27	0.39	0	0	0	0	0	10.76	0	0	0	26.78	0	0	0	0	0	0	0	0	0	0	0	0			
78	20_Zone1	4	9	59.59	0.21	0	8.14	24.19	0	0	7.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
79	20_Zone1	4	10	61.62	0.28	0.36	11.21	22.54	0	0	3.47	0	0	0.16	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0			
80	20_Zone1	5	1	57.47	0	0	0.81	1.93	0	0	0	0	0	0	0	0	0	39.79	0	0	0	0	0	0	0	0	0	0	0	0			
81	20_Zone1	5	2	59.45	0.76	0	8.44	24.02	0	0	7.18	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0			
82	20_Zone1	5	3	58.97	0.21	0	8.27	24.83	0	0	7.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
83	20_Zone1	5	4	62.72	0	0	2.11	3.62	0.24	0	0.25	0	0.19	0.21	0	0	0	30.66	0	0	0	0	0	0	0	0	0	0	0	0			
84	20_Zone1	5	5	63.65	0	1.44	3.51	28.91	0	0.26	0.36	0	0	0	0	0	0	1.87	0	0	0	0	0	0	0	0	0	0	0	0			
85	20_Zone1	5	6	58.3	0.6	0	8.44	24.88	0	0	7.65	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0			
86	20_Zone1	5	7	60.32	0	0.66	2.82	25.92	0	0	0.76	0	0	0.23	0	0	0	9.3	0	0	0	0	0	0	0	0	0	0	0	0			
87	20_Zone1	6	1	59.51	1.74	2.19	5.93	20.74	0	0	0.93	0	3.27	0.65	0	0	0	5.04	0	0	0	0	0	0	0	0	0	0	0	0			
88	79_Zone 1	2	1	63.64	0.46	0	8.08	23.76	0	0	0.26	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
89	79_Zone 1	2	2	66.18	0	0.35	8.38	20.8	0	0	1.26	0	3.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
90	79_Zone 1	2	3	65.94	0	0.4	8.35	20.76	0	0	1.48	0	3.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
91	79_Zone 1	2	4	65.47	0.44	0	7.69	22.64	0	0	0.32	0	3.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
92	79_Zone 1	2	5	66.59	0.38	0.77	6.45	20.66	0	0	0.38	0	3.34	0	0	0	0	1.44	0	0	0	0	0	0	0	0	0	0	0	0			
93	79_Zone 1	2	6	65.84	0	0.25	8.29	19.96	0	0	1.85	0	3.02	0.13	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0			
94	79_Zone 1	2	7	57.98	0	0.27	9.22	24.64	0	0	3.45	0	4.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
95	79_Zone 1	2	8	60.98	1.91	1.6	5.5	20.87	0	0	0.68	0	2.87	1.06	0	0	0	4.54	0	0	0	0	0	0	0	0	0	0	0	0			
96	79_Zone 2	1	1	66.36	0.75	0	7.94	21.41	0	0	0.36	0	3.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
97	79_Zone 2	1	2	63.33	2.01	0	9.04	21.91	0	0	0.72	0	2.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
98	79_Zone 2	1	3	60.35	3.82	0	10.38	20.86	0	0	0.78	0	2.99	0	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0			
99	79_Zone 2	1	4	60.99	2.38	1.61	6.87	20.46	0	0	2.67	0	1.11	0.49	0	0	0	3.43	0	0	0	0	0	0	0	0	0	0	0	0			
100	79_Zone 2	1	5	59.69	0	7.01	0.86	19.46	0	0	0	0	6.85	0.3	0	0	0	5.82	0	0	0	0	0	0	0	0	0	0	0	0			
101	79_Zone 2	1	6	60.94	1.45	3.16	3.81	19.19	0	0.59	0.68	0	3.6	0.68	0	0	0	5.89	0	0	0	0	0	0	0	0	0	0	0	0			
102	25b	8	1	60.05	0.65	1.44	4.4	17.24		0	2.38	0	0.84	5.22		0	0	7.79	0	0	0	0	0	0	0	0	0	0	0	0	1	Glauconite/Nontronite	Nontr. More likely, lower density than Kfs
103	25b	8	2	57.76	0.6	1.76	5.08	17.49		0	2.88	0	1.1	5.32		0	0	8.01	0	0	0	0	0	0	0	0	0	0	0	0	1	Glauconite/Nontronite	Nontr. More likely, lower density than Kfs
104	1b	3	1	60.19	1.04	0.56	15.28	17.48		0	4.37	0	0	0.1		0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	2	Illite?	Similar density to qtz
105	1b	3	2	59.22	0.63	2.7	10.64	18.1		0	3.77	0	0	0		0	0	4.94	0	0	0	0	0	0	0	0	0	0	0	0	2	Illite?	Similar density to qtz
106	25	2	3	59.59	3.61	0	12	20.08		0	0.18	0	4.13	0		0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	3	Plagioclase	Labradorite
107	25	3	4	59.46	3.62	0	11.98	20.28		0	0.2	0	4.12	0		0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	3	Plagioclase	Labradorite
108	25	9	1	59.35	3.59	0	12.17	20.28		0	0.18	0	4.25	0		0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	3	Plagioclase	Labradorite
109	1b	6	1	59.7	4.01	0	11.33	20.57		0	0.22	0	3.68	0		0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	3	Plagioclase	Labradorite
110	1b	9	5	59.65	3.55	0	12.2	19.83		0	0.15	0	4.3	0		0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	3	Plagioclase	Labradorite
111	1b	13	2	60.05	3.44	0	12.04	19.57		0	0.15	0	4.36	0		0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	3	Plagioclase	Labradorite
112	25	2	2	57.44	0	7.73	0.94	20.28		0	0	0	7.56	0.26		0	0.16	5.64	0	0	0	0	0	0	0	0	0	0	0	0	4	Pyroxene	Diopside
113	25	2	4	61.48	0	0	0.21	1.86		0	0	0	0.64	3.76		0.3	0	31.75	0	0	0	0	0	0	0	0	0	0	0	0	4	Hematite/Maghemite	
114	25	2	8	60.17	0	0	0.76	0.75		0	0	0	0.22	3.72		0.31	0.36	33.71	0	0	0	0	0	0	0	0	0	0	0	0	4	Hematite/Maghemite	
115	25	3	7	57.38	0	7.74	0.81	20.48		0	0	0	7.41	0.19		0	0.2	5.78	0	0	0	0	0	0	0	0	0	0	0	0	4	Pyroxene	Diopside
116	1b	13	3	57.86	0	7.43	0.7	20.15		0	0	0	6.87	0.2		0	0.14	6.65	0	0	0	0	0	0	0	0	0	0	0	0	4	Pyroxene	Diopside
117	1b	13	4	61.47	0	0	0.49	0.5		0	0	0	0.18	9.52		0.35	0	27.49	0	0	0	0	0	0	0	0	0	0	0	0	4	Ulvospinel	
118	25b	4	1	57.77	0	8.73	0.88	19.83		0	0	0	7.16	0.31		0	0	5.31	0	0	0	0	0	0	0	0	0	0	0	0	4	Pyroxene	Diopside
119	25	2	5	61.01	0	1	0	0.46		0	0	0	0.3	19.7		0	0.96	16.58	0	0	0	0	0	0	0	0	0	0	0	0	5	Ilmenite	
120	25	2	7	61	0	1.15	0	0.2		0	0	0	0	19.97		0	1.19	16.5	0	0	0	0	0	0	0	0	0	0	0	0	5	Ilmenite	
121	1b	3	3	59.04	0	7.61	1.16	20.47		0	0	0	4.96	0		0	0.14	6.63	0	0	0	0	0	0	0	0	0	0	0	0	5	Pyroxene	Hedenbergite
122	1b	6	2	58.02	0	7.08	0.59	20.24		0	0	0	5.68	0.26		0	0.18	7.96	0	0	0	0	0	0	0	0	0	0	0	0	5	Pyroxene	Hedenbergite
123	1b	6	3	59.08	0.91	6.39	1.12	20.06		0	0	0	5.62	0.23		0	0	6.59	0	0	0	0	0	0	0	0	0	0	0	0	5	Pyroxene	Hedenbergite
124	25	2	1	65.71	0	0.35	8.38	21.04		0	1.53	0	2.99	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Heulandite/Mordenite	*No Clinoptilolite, Si:Al<4
125	25	3	1	65.23	0.13	0.39	8.26	20.89		0	2.14	0	2.97	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Heulandite/Mordenite	*No Clinoptilolite, Si:Al<4
126	1b	9	1	66.33	0.12	0.12	8.48	20.42		0	1.25	0	3.28	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Heulandite/Mordenite	*No Clinoptilolite, Si:Al<4
127	1b	13	1	68.26	0	0	7.27	20.62		0	0.89	0	2.96	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Heulandite/Mordenite	*No Clinoptilolite, Si:Al<4
128	25	3	3	63.24	0	0	0	2.16		0	0	17.27	17.33	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	Anhydrite	
129	25	9	2	63.23	0	0	0	0.77		0	0	18.08	17.92	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	Anhydrite	
130	1b	4	3	61.63	0.18	5.08	4.44	21.67		0	0.94	0	0.67	0		0	0	5.39	0	0	0	0	0	0	0	0	0	0	0	0	7	Clinopotilite/Glaucophane	
131	1b	13	6	59.54	0	6.35	3.64	21.3		0.12	1.85	0	0.8	0		0	0	6.4	0	0	0	0	0	0	0	0	0	0	0	0	7	Clinopotilite/Glaucophane	
132	1b	9	2	58.36	0	10.09	5.09	21.31		0.25	0.57	0	0.74	0		0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	8	Tremolite??	
133	1b	9	3	58.3	0	4.59	7.99	22.83		1.31	0.68	0	0.91	0		0	0	3.39	0	0	0	0	0	0	0	0	0	0	0	0	8	Tremolite??	
134	1b	9	4	60.24	5.25	0	9.92	21.83		0	0.34	0	2.11	0		0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	9	Plagioclase	Oligoclase
135	25b	4	3	64.92	0	0	0	0.6		0	0	0	0.16	30.46		0	0	3.85	0	0	0	0	0	0	0	0	0	0	0	0	10	Anatase/Rutile	
136	25b	4	4	61.59	0	2.87	8.08	22.16		0.16	0.14	0	0.91	1		0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	10	Heulandite/Mordenite	*No Clinoptilolite, Si:Al<4
137	25b	4	5	62.42	0	0	0.37	0.94		0	0	0	0	18.53		0	0	17.75	0	0	0	0	0	0	0	0	0	0	0	0	10	Anatase/Rutile	
138	25b	8	3	57.65	1.11	1.89	5.33	22.55		0	3.95	0	1.11	0.7		0	0	5.71	0	0	0	0	0	0	0	0	0	0	0	0	11	Kfs	
139	1b	5	2	59.95	2.59	0	7.72	24.94		0	4.41	0	0	0		0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine	
140	1b	5	4	59.37	2.02	0	7.94	24.51		0	5.56	0	0	0		0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine	
141	1b	6	4	59.71	2.33	0	7.71	24.82		0.11	5.05	0	0	0		0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine	
142	25b	4	2	59.74	3.45	0	8.5	24.12		0	4.18	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine/Leucite	
143	1b	4	2	65.74	0	1.84	2.06	26.97		0	0.24	0	0.25	0		0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	13	Mordenite/Clinopotilite	
144	1b	6	5	61.9	1.44	0	5.11	28.08		0	3.48	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	Clinoptilite	
145	1b	5	3	59.98	0	0	0.81	0.3		0	0	0	0	0		0	0	38.91	0	0	0	0	0	0	0	0	0	0	0	0	15	Hematite/Maghemite	
